Order_id,Counter_party_1,inst_Code,c1_ISIN,c1_Date,c1_Time,Settlement_date,Buy_sell,c1_Price,c1_Volume,c1_Trade amount,Counter_party_2,c2_Code,c2_ISIN,c2_Date,c2_Time,c2_price,c2_Volume,c2_Trade_amount,Settled,Comments
114483,C1161481,8KMILES,INE650K01021,18-12-2014,09:16:00,20/12/2014,B,560,832,465920,C2294678,8KMILES,INE650K01021,18-12-2014,09:16:00,560,800,448000,N,volume mismatch between Buyer and seller
179879,C1195515,ABAN,INE421A01028,18-12-2014,09:16:00,20/12/2014,S,444.75,46939,20876120.25,C2210642,ABAN,INE421A01028,18-12-2014,09:16:00,444.75,46939,20876120.25,Y,Settled
253274,C1129736,ABB,INE117A01022,18-12-2014,09:16:00,20/12/2014,B,1183.95,585,692610.75,C2299354,AIL,INE117A01022,18-12-2014,09:16:00,1183.95,585,692610.75,N,Security code mismatch
305648,C1185163,ABBOTINDIA,INE358A01014,18-12-2014,09:16:00,20/12/2014,B,3381,13,43953,C2285410,AIL,INE358A01014,18-12-2014,09:16:00,3381,13,43953,N,Security code mismatch
355733,C1157668,ABIRLANUVO,INE069A01017 ,18-12-2014,09:16:00,20/12/2014,B,1625.25,911,1480602.75,C2228280,AIL,INE069A01017 ,18-12-2014,09:16:00,1625.25,911,1480602.75,N,Security code mismatch
432643,C1188255,ACC,INE012A01025,18-12-2014,09:16:00,20/12/2014,B,1384.4,1538,2129207.2,C2264241,ACC,INE415A01038,18-12-2014,09:16:00,1384.4,1538,2129207.2,N,ISIN mismatch
510649,C1188170,ADANIENT,INE423A01024,18-12-2014,09:16:00,20/12/2014,B,446.75,9904,4424612,C2284623,ABB,INE423A01024,18-12-2014,09:16:00,446.75,9904,4424612,N,Security code mismatch
6668231,C1192129,DABUR,INE016A01026,18-12-2014,09:16:00,20/12/2014,B,224.05,4727,1059084.35,C2237095,CMC,INE016A01026,18-12-2014,09:16:00,224.05,4727,1059084.35,N,Security code mismatch
16704,C1155538,3IINFOTECH,INE748C01020,18-12-2014,09:17:00,20/12/2014,S,7.3,1000,7300,C2291493,3IINFOTECH,INE748C01020,18-12-2014,09:17:00,7.35,1000,7350,N,Price mismatch between Buyer and Seller
114484,C1198394,8KMILES,INE650K01021,18-12-2014,09:17:00,20/12/2014,B,568,449,255032,C2287824,8KMILES,INE650K01021,18-12-2014,09:17:00,568,449,255032,Y,Settled
179880,C1160203,ABAN,INE314A01017,18-12-2014,09:17:00,20/12/2014,S,442.7,19255,8524188.5,C2246791,ABAN,INE421A01028,18-12-2014,09:17:00,442.7,19255,8524188.5,N,ISIN mismatch
253275,C1198874,ABB,INE117A01022,18-12-2014,09:17:00,20/12/2014,B,1182,313,369966,C2298503,ABB,INE621H01010,18-12-2014,09:17:00,1182,313,369966,N,ISIN mismatch
305649,C1104152,ABBOTINDIA,INE358A01014,18-12-2014,09:17:00,20/12/2014,B,3398,3,10194,C2257520,ABBOTINDIA,INE358A01014,18-12-2014,09:17:00,3398,3,10194,Y,Settled
355734,C1180559,ABIRLANUVO,INE094A01015,18-12-2014,09:17:00,20/12/2014,S,1630.05,1250,2037562.5,C2270646,ABIRLANUVO,INE069A01017 ,18-12-2014,09:17:00,1630.05,1250,2037562.5,N,ISIN mismatch
432644,C1119619,ACC,INE415A01038,18-12-2014,09:17:00,20/12/2014,S,1392,1053,1465776,C2213879,ACC,INE012A01025,18-12-2014,09:17:00,1392,1053,1465776,N,ISIN mismatch
510650,C1149399,ADANIENT,INE423A01024,18-12-2014,09:17:00,20/12/2014,B,447.4,6135,2744799,C2213230,ADANIENT,INE423A01024,18-12-2014,09:17:00,447.4,6135,2744799,Y,Settled
6330714,C1106465,CRISIL,INE007A01025,18-12-2014,09:17:00,20/12/2014,B,1830.95,31,56759.45,C2217792,CMC,INE007A01025,18-12-2014,09:17:00,1830.95,31,56759.45,N,Security code mismatch
6668232,C1123175,DABUR,INE016A01026,18-12-2014,09:17:00,20/12/2014,B,223.85,7371,1649998.35,C2290629,DABUR,INE016A01026,18-12-2014,09:17:00,223.85,7371,1649998.35,Y,Settled
16705,C1146513,3IINFOTECH,INE748C01020,18-12-2014,09:18:00,20/12/2014,B,7.45,9450,70402.5,C2260898,3IINFOTECH,INE748C01020,18-12-2014,09:18:00,7.45,9000,67050,N,volume mismatch between Buyer and seller
114485,C1163219,8KMILES,INE650K01021,18-12-2014,09:18:00,20/12/2014,B,572.1,965,552076.5,C2251220,8KMILES,INE650K01021,18-12-2014,09:18:00,572.1,965,552076.5,Y,Settled
179881,C1135239,ABAN,INE421A01028,18-12-2014,09:18:00,20/12/2014,B,439,10694,4694666,C2285857,AIL,INE421A01028,18-12-2014,09:18:00,439,10694,4694666,N,Security code mismatch
253276,C1174264,ABB,INE117A01022,18-12-2014,09:18:00,20/12/2014,B,1179.2,202,238198.4,C2250064,ABB,INE117A01022,18-12-2014,09:18:00,1179.2,202,238198.4,Y,Settled
305650,C1190492,ABBOTINDIA,INE330H01018,18-12-2014,09:18:00,20/12/2014,S,3399.9,39,132596.1,C2249766,ABBOTINDIA,INE358A01014,18-12-2014,09:18:00,3399.9,39,132596.1,N,ISIN mismatch
